# # masses,tags,x,y,z,vx,vy,vz,ax,ay,az
1.000000000000000056e-01,0.000000000000000000e+00,-1.064535431988949538e-01,1.012946689724207872e+00,2.984874977688864117e+00,1.395211965658233189e-01,3.325278597414038639e-02,1.239128926386929175e+00,1.508137323767441140e-01,-3.464761728548812481e-01,-8.776586928229594964e-01
1.000000000000000056e-01,1.000000000000000000e+00,-7.277271090077335192e-01,-3.982309417712021626e-01,7.515452283987742454e-01,7.324800340583282887e-01,7.187998759854867803e-01,-7.743579418005207549e-01,1.924424639979831486e+00,5.293816428421922460e-01,-9.491894974759914616e-01
1.000000000000000056e-01,2.000000000000000000e+00,-1.363305217955908422e+00,-1.741375815226248180e+00,-2.257287049354771202e+00,1.536301854435403680e+00,-1.083210768179396988e+00,-2.841937142173151520e-01,1.440881397107059425e-01,4.140167055324296963e-01,7.047881674914232564e-01
1.000000000000000056e-01,3.000000000000000000e+00,4.625009849513674887e-01,-1.239797507330648585e-01,4.723838920506301386e-02,-3.336950489909636941e-01,1.058886674314635012e+00,-1.646942850968483807e+00,-1.352752990015397172e+00,3.369556586612866500e+00,3.159058384541814757e+00
1.000000000000000056e-01,4.000000000000000000e+00,1.524036677451130695e+00,6.656477921651909879e-01,3.680727190884243716e-01,-1.600389981020397534e-04,1.288411000704890119e+00,1.521473801506348922e+00,-1.998321158223962390e+00,-1.496338386764161754e+00,-3.797429745785002586e-01
1.000000000000000056e-01,5.000000000000000000e+00,-2.606962984735383682e+00,-1.055252598300161493e-01,-9.719631499414846942e-01,4.731957187697349854e-02,1.531982455067164572e+00,-7.557685668236276966e-01,8.865275094740953099e-01,1.879536410253452583e-01,3.270245507136218532e-01
1.000000000000000056e-01,6.000000000000000000e+00,-1.419513208193812881e+00,9.960200008871831212e-01,1.473080263826442859e+00,-1.833737108806147154e+00,-7.497591633666440547e-01,7.508511485210154213e-01,8.782246528580158751e-01,-5.562083860470197205e-01,-6.401299120745940208e-01
1.000000000000000056e-01,7.000000000000000000e+00,-1.371644777360715162e-01,-3.779280961944367356e-01,1.803487882076122650e+00,1.710013059613174069e-01,7.101241060950503892e-01,4.530981757418652833e-01,7.160905390371903323e-01,6.027640073143171184e-01,-2.019745255701993703e+00
1.000000000000000056e-01,8.000000000000000000e+00,7.709825658326582287e-01,8.492132145415776101e-01,-7.326054620634543380e-01,-5.662941862540962212e-01,-1.347298608637289341e+00,4.150358628265285454e-02,-6.939827067194235255e-01,-1.342993608961470686e+00,1.393599361382868551e+00
1.000000000000000056e-01,9.000000000000000000e+00,-1.686209053329265295e+00,-3.850331854533958070e-02,-1.412209261188680287e+00,-6.374000637215755383e-01,-3.759507279864770513e-01,-5.714115456591793984e-01,1.025681101291397335e+00,3.430552630347569881e-02,8.805266314739151889e-01
1.000000000000000056e-01,1.000000000000000000e+01,-4.265118650474052364e-01,-9.932990739423024351e-01,5.400677702756110365e-01,-7.441454323534349991e-01,4.243171851146168572e-01,-6.988694355242098810e-01,6.678205825201533052e-01,2.713868023771746074e+00,-5.433509148403433686e-01
1.000000000000000056e-01,1.100000000000000000e+01,5.709751673607479372e-01,-1.579286272180135065e+00,9.204778974035384698e-01,7.387487598752341400e-01,3.075636983165175864e-01,2.217784075850767478e-01,3.522242625677069472e-01,-1.705378837987800988e+00,-3.521794545497906270e+00
1.000000000000000056e-01,1.200000000000000000e+01,9.407404763542660531e-01,6.459160638662547749e-02,1.356258987180962494e+00,8.197465150060803118e-01,-1.166804025224237318e+00,7.772913840152303466e-01,-1.515689056575811655e+00,3.971592467972637763e-01,-2.170989676783018130e+00
1.000000000000000056e-01,1.300000000000000000e+01,5.236545479535037462e-01,8.246651022586443114e-01,-3.287488195347351705e-01,5.320310693293527349e-01,-1.145938440797684255e+00,5.041932031841106499e-01,3.207990551759739017e-01,-1.213358866759784327e+00,1.235446784863002856e+00
1.000000000000000056e-01,1.400000000000000000e+01,-1.352440990759396638e-02,-1.253714202906441866e-01,6.592184158580587094e-02,5.200453993585474333e-01,6.506169347039955642e-02,-1.926707005928032901e+00,6.120914206318333051e+00,-1.466092924371414571e-02,-2.358245591257525919e-01
1.000000000000000056e-01,1.500000000000000000e+01,-5.212141940780843363e-01,-7.212124682899144767e-01,4.530254848629056696e-01,7.794519071591393677e-01,3.445484016989027731e-01,9.435691067825964229e-01,1.763272611072715934e+00,9.870709048085162252e-01,4.719302328732319363e-01
1.000000000000000056e-01,1.600000000000000000e+01,3.832546725059804427e-01,4.238795026573324853e-01,9.852776579778028676e-01,1.579234815241536083e+00,5.962444477107693430e-01,1.363600871373202850e+00,1.127454134354120896e+00,-1.265779992573441426e+00,-2.742127414677450581e+00
1.000000000000000056e-01,1.700000000000000000e+01,-7.782146686051394369e-02,-3.492749443083443817e-01,-2.000526275311159008e+00,1.002638972061187017e+00,1.372615528939022500e+00,-4.325159163383821559e-01,1.483079745529784499e-01,2.372602949420739848e-01,1.298797332622265932e+00
1.000000000000000056e-01,1.800000000000000000e+01,-4.152788261047566931e-01,1.118080154980537061e-01,5.281055449772261712e-01,-9.710625902161540424e-01,-9.292302183611079736e-01,1.091631769925123854e-02,2.887355450663341649e+00,-7.088865268386135288e-01,-5.496485501781228633e-01
1.000000000000000056e-01,1.900000000000000000e+01,6.774141221420939551e-01,8.603203869965312389e-01,1.083196657290455001e+00,-7.481729689357710100e-01,-5.638814830101359643e-01,1.747141675520871074e+00,-8.092472263637909835e-01,-2.167999992209415527e+00,-1.594831979349837781e+00
1.000000000000000056e-01,2.000000000000000000e+01,1.454932336199507570e-01,2.427435988256914090e-01,1.749881863500854617e+00,1.334596268406325947e+00,-1.013732733207632686e+00,-1.035286686723927568e-02,5.613034562107015457e-01,-5.003004226741972760e-01,-2.252424831294666863e+00
1.000000000000000056e-01,2.100000000000000000e+01,-1.411386752555289226e+00,1.671292180983408038e-02,-8.557806393640053910e-01,-1.449855661997365930e+00,6.068599303336823514e-01,9.041688185479367368e-01,1.239698179624564967e+00,-1.841956104669877359e-01,2.861569433047703725e-01
1.000000000000000056e-01,2.200000000000000000e+01,-1.373941776691648409e+00,-6.801903151120761715e-01,7.431379253240145699e-01,8.908896368512917441e-01,-1.633999539247005028e+00,-3.071224028090376867e-01,1.559756965833279496e+00,5.918410515405289063e-01,-4.276454893492436238e-01
1.000000000000000056e-01,2.300000000000000000e+01,6.694956738549948660e-01,-1.221916632549246012e-01,-2.892465911226828057e-01,-7.706371805560255916e-01,-2.032335414666615936e+00,-1.053288135730209518e+00,3.367912132506838407e-01,9.091971014613127178e-01,3.593181902457210253e+00
1.000000000000000056e-01,2.400000000000000000e+01,2.251695907800538299e-01,-2.725734969155637066e-01,1.186576933612770723e+00,-1.445972087770393433e+00,-4.575605161088572292e-02,2.191697728945974255e+00,3.382222486072148371e-01,-7.483945491082256707e-01,-2.346226338579571191e+00
